instance_id,step,human_redundant,judge_redundant,type
pvlib__pvlib-python-1854,4,True,False,FN
pvlib__pvlib-python-1854,7,False,True,FP
pvlib__pvlib-python-1854,9,False,True,FP
pvlib__pvlib-python-1854,10,False,True,FP
pvlib__pvlib-python-1854,11,True,False,FN
pvlib__pvlib-python-1854,13,True,False,FN
pvlib__pvlib-python-1854,16,True,False,FN
pvlib__pvlib-python-1854,18,False,True,FP
pvlib__pvlib-python-1854,19,True,False,FN
pvlib__pvlib-python-1854,24,False,True,FP
pvlib__pvlib-python-1854,26,False,True,FP
pvlib__pvlib-python-1854,31,True,False,FN
pvlib__pvlib-python-1854,32,False,True,FP
pvlib__pvlib-python-1854,36,True,False,FN
pvlib__pvlib-python-1072,5,True,False,FN
pvlib__pvlib-python-1072,12,False,True,FP
pvlib__pvlib-python-1072,13,True,False,FN
pvlib__pvlib-python-1072,17,True,False,FN
pvlib__pvlib-python-1072,20,False,True,FP
pvlib__pvlib-python-1072,29,True,False,FN
pvlib__pvlib-python-1072,30,True,False,FN
pvlib__pvlib-python-1154,7,True,False,FN
pvlib__pvlib-python-1154,11,True,False,FN
pvlib__pvlib-python-1154,16,False,True,FP
pvlib__pvlib-python-1154,17,True,False,FN
pvlib__pvlib-python-1154,18,False,True,FP
pvlib__pvlib-python-1154,20,True,False,FN
pvlib__pvlib-python-1154,21,False,True,FP
pvlib__pvlib-python-1154,22,True,False,FN
pvlib__pvlib-python-1154,23,True,False,FN
pvlib__pvlib-python-1154,24,False,True,FP
pvlib__pvlib-python-1154,25,True,False,FN
pvlib__pvlib-python-1154,27,False,True,FP
pvlib__pvlib-python-1154,28,True,False,FN
pvlib__pvlib-python-1154,30,True,False,FN
pvlib__pvlib-python-1154,33,False,True,FP
pvlib__pvlib-python-1154,34,True,False,FN
pvlib__pvlib-python-1154,35,True,False,FN
pvlib__pvlib-python-1154,38,True,False,FN
pydicom__pydicom-1139,4,True,False,FN
pydicom__pydicom-1139,5,True,False,FN
pydicom__pydicom-1139,7,True,False,FN
pydicom__pydicom-1139,9,True,False,FN
pydicom__pydicom-1139,12,True,False,FN
pydicom__pydicom-1139,13,True,False,FN
pydicom__pydicom-1139,16,True,False,FN
pydicom__pydicom-1139,18,True,False,FN
pydicom__pydicom-1139,20,True,False,FN
pydicom__pydicom-1139,25,True,False,FN
pydicom__pydicom-1139,27,True,False,FN
