django__django-11790	swebench/sweb.eval.x86_64.django_1776_django-11790:latest
django__django-11815	swebench/sweb.eval.x86_64.django_1776_django-11815:latest
django__django-11848	swebench/sweb.eval.x86_64.django_1776_django-11848:latest
django__django-11880	swebench/sweb.eval.x86_64.django_1776_django-11880:latest
django__django-11885	swebench/sweb.eval.x86_64.django_1776_django-11885:latest
django__django-11951	swebench/sweb.eval.x86_64.django_1776_django-11951:latest
django__django-11964	swebench/sweb.eval.x86_64.django_1776_django-11964:latest
django__django-11999	swebench/sweb.eval.x86_64.django_1776_django-11999:latest
django__django-12039	swebench/sweb.eval.x86_64.django_1776_django-12039:latest
django__django-12050	swebench/sweb.eval.x86_64.django_1776_django-12050:latest
django__django-12143	swebench/sweb.eval.x86_64.django_1776_django-12143:latest
django__django-12155	swebench/sweb.eval.x86_64.django_1776_django-12155:latest
django__django-12193	swebench/sweb.eval.x86_64.django_1776_django-12193:latest
django__django-12209	swebench/sweb.eval.x86_64.django_1776_django-12209:latest
django__django-12262	swebench/sweb.eval.x86_64.django_1776_django-12262:latest
django__django-12273	swebench/sweb.eval.x86_64.django_1776_django-12273:latest
django__django-12276	swebench/sweb.eval.x86_64.django_1776_django-12276:latest
django__django-12304	swebench/sweb.eval.x86_64.django_1776_django-12304:latest
django__django-12308	swebench/sweb.eval.x86_64.django_1776_django-12308:latest
django__django-12325	swebench/sweb.eval.x86_64.django_1776_django-12325:latest
django__django-12406	swebench/sweb.eval.x86_64.django_1776_django-12406:latest
django__django-12708	swebench/sweb.eval.x86_64.django_1776_django-12708:latest
django__django-12713	swebench/sweb.eval.x86_64.django_1776_django-12713:latest
django__django-12774	swebench/sweb.eval.x86_64.django_1776_django-12774:latest
django__django-9296	swebench/sweb.eval.x86_64.django_1776_django-9296:latest
sphinx-doc__sphinx-10323	swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-10323:latest
sphinx-doc__sphinx-10435	swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-10435:latest
sphinx-doc__sphinx-10466	swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-10466:latest
sphinx-doc__sphinx-10673	swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-10673:latest
sphinx-doc__sphinx-11510	swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-11510:latest
sphinx-doc__sphinx-7590	swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-7590:latest
